	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
GENE_1694	400.0	850.0	660.0	962.2510480122235	610.0	513.8568126335616
GENE_1695	460.0	300.0	770.0	340.0	290.0	370.0
GENE_1696	1200.0	1020.0	380.0	180.0	750.0	570.0
GENE_1697	380.0	850.0	810.0	350.0	185.92791322665903	570.0
GENE_1698	280.0	520.0	220.0	540.0	220.0	460.0
GENE_1699	180.0	230.0	1020.0	490.0	2571.5667040706185	574.2422869434513
GENE_1700	250.0	410.0	530.0	600.0	410.0	340.0
GENE_1701	340.0	290.0	190.0	200.0	500.0	410.0
GENE_1702	200.0	500.0	380.0	610.0	360.0	1926.899896113592
GENE_1703	460.0	310.0	890.0	670.0	1082.2028616940393	250.43460069764342
GENE_1704	240.0	330.0	380.0	170.0	510.0	120.0
GENE_1705	410.0	140.0	500.0	1428.9092061400345	160.9890207826094	520.0
GENE_1706	140.0	450.0	760.0	240.0	167.0438583270853	670.0
GENE_1707	420.0	830.0	440.0	440.0	690.0	490.0
GENE_1708	340.0	250.0	300.0	300.0	580.0	530.0
GENE_1709	520.0	460.0	460.0	180.0	420.0	220.0
GENE_1710	410.0	320.0	570.0	430.0	340.0	820.4686196805044
GENE_1711	460.0	400.0	390.0	1448.5579670047264	550.0	150.0
GENE_1712	600.0	230.0	150.0	403.18921523619764	160.0	48.282073210970964
GENE_1713	420.0	280.0	510.0	430.0	220.0	510.0
GENE_1714	340.0	930.0	420.0	430.0	430.0	440.0
GENE_1715	440.0	430.0	460.0	260.0	420.6971712825063	2368.2291087040708
GENE_1716	400.0	370.0	530.0	250.0	1210.0	500.0
GENE_1717	270.0	440.0	410.0	740.0	470.0	440.0
GENE_1718	490.0	840.0	220.0	430.0	320.0	1575.2364691209643
GENE_1719	330.0	360.0	430.0	220.0	730.0	1526.691237690042
GENE_1720	500.0	90.0	570.0	410.0	770.0	370.0
GENE_1721	180.0	300.0	240.0	410.0	410.0	640.0
GENE_1722	650.0	280.0	610.0	360.0	610.0	560.0
GENE_1723	470.0	280.0	320.0	310.0	100.0	290.0
GENE_1724	430.0	540.0	620.0	130.0	440.0	1241.8982219152622
GENE_1725	210.0	710.0	550.0	390.0	370.0	340.0
GENE_1726	750.0	890.0	400.0	380.0	235.9742350377592	198.97682916998534
GENE_1727	380.0	470.0	450.0	550.0	680.0	670.0
GENE_1728	360.0	540.0	870.0	450.0	603.2376082925367	850.0
GENE_1729	240.0	230.0	430.0	480.0	330.0	420.0
GENE_1730	570.0	270.0	320.0	300.0	630.0	550.0
GENE_1731	100.0	410.0	620.0	600.0	220.0	400.0
GENE_1732	460.0	520.0	510.0	290.0	370.0	500.0
GENE_1733	140.0	520.0	100.0	410.0	250.0	340.0
GENE_1734	800.0	280.0	710.0	130.0	400.0	330.0
GENE_1735	130.0	500.0	330.0	490.0	670.0	1040.0
GENE_1736	510.0	150.0	730.0	420.0	690.0	290.0
GENE_1737	430.0	1050.0	870.0	360.0	240.0	1327.0916448952562
GENE_1738	320.0	630.0	330.0	450.0	330.0	650.0
GENE_1739	470.0	290.0	170.0	110.0	196.40751427102825	960.0
GENE_1740	450.0	960.0	350.0	610.0	160.0	926.4969879600484
GENE_1741	560.0	300.0	240.0	220.0	910.0	120.0
GENE_1742	950.0	440.0	120.0	280.0	400.0	350.0
GENE_1743	540.0	130.0	810.0	350.0	750.0	230.0
GENE_1744	520.0	690.0	290.0	600.0	470.0	360.0
GENE_1745	790.0	700.0	170.0	671.096745395012	370.0	1827.5306330670376
GENE_1746	190.0	500.0	670.0	310.0	600.0	460.0
GENE_1747	630.0	660.0	410.0	180.0	400.0	220.0
GENE_1748	600.0	500.0	330.0	360.0	760.0	320.0
GENE_1749	250.0	400.0	330.0	190.0	210.0	660.0
GENE_1750	600.0	240.0	600.0	180.0	210.0	84.70712308553897
GENE_1751	820.0	430.0	780.0	660.0	480.0	570.0
GENE_1752	540.0	570.0	500.0	740.0	520.0	1632.2595834096303
GENE_1753	720.0	450.0	470.0	270.0	570.0	170.0
GENE_1754	500.0	640.0	360.0	480.0	1070.0	570.0
GENE_1755	250.0	310.0	530.0	380.0	300.0	1025.2439988560338
GENE_1756	520.0	450.0	650.0	470.0	550.0	240.0
GENE_1757	430.0	310.0	300.0	320.0	220.0	360.0
GENE_1758	100.0	500.0	500.0	758.616396900609	300.0	2489.494046955593
GENE_1759	470.0	660.0	380.0	270.0	180.0	190.0
GENE_1760	470.0	210.0	340.0	147.8366442719981	153.21726699838308	100.0
GENE_1761	940.0	440.0	690.0	380.0	590.0	470.0
GENE_1762	410.0	470.0	540.0	580.0	280.0	1278.278546103999
GENE_1763	260.0	120.0	710.0	550.0	260.0	520.0
GENE_1764	490.0	350.0	460.0	690.0	850.0	170.0
GENE_1765	170.0	590.0	280.0	330.0	390.0	440.0
GENE_1766	380.0	150.0	380.0	650.0	969.725150603073	530.0
GENE_1767	650.0	360.0	540.0	330.0	540.0	1445.3503391798556
GENE_1768	60.0	460.0	100.0	210.0	290.0	310.0
GENE_1769	320.0	480.0	380.0	460.0	590.0	620.0
GENE_1770	340.0	760.0	800.0	340.0	1130.0	134.19154138488065
GENE_1771	380.0	1000.0	570.0	530.0	520.0	530.0
GENE_1772	180.0	430.0	730.0	660.0	450.0	290.0
GENE_1773	560.0	770.0	260.0	690.0	78.6059132807431	430.0
GENE_1774	640.0	180.0	170.0	180.0	310.0	460.0
GENE_1775	590.0	90.0	160.0	198.8347139869358	440.0	380.0
GENE_1776	1070.0	490.0	520.0	200.0	830.0	260.0
GENE_1777	480.0	210.0	630.0	290.0	320.0	110.4658822517364
GENE_1778	470.0	90.0	740.0	55.97166077665783	230.0	190.0
GENE_1779	270.0	800.0	290.0	450.0	450.0	290.0
GENE_1780	420.0	340.0	400.0	540.0	290.0	410.0
GENE_1781	300.0	520.0	470.0	250.0	150.0	160.0
GENE_1782	500.0	360.0	300.0	1050.0	350.0	440.0
GENE_1783	330.0	290.0	490.0	190.0	460.0	270.0
GENE_1784	440.0	490.0	1040.0	300.0	260.0	510.0
GENE_1785	630.0	650.0	390.0	470.0	350.0	370.0
GENE_1786	290.0	890.0	300.0	460.0	1324.79136655671	740.0
GENE_1787	250.0	430.0	500.0	410.0	270.0	70.0
GENE_1788	1110.0	760.0	380.0	520.0	330.0	250.0
GENE_1789	540.0	130.0	460.0	390.0	280.0	460.0
GENE_1790	270.0	170.0	240.0	860.0	1195.2241110702146	730.0
GENE_1791	330.0	150.0	260.0	490.0	280.0	310.59411833360747
GENE_1792	300.0	450.0	320.0	570.0	280.0	370.0
GENE_1793	360.0	270.0	530.0	886.9518537532937	410.0	340.0
GENE_1794	260.0	590.0	770.0	310.0	240.0	1059.1285014095927
GENE_1795	390.0	580.0	340.0	450.0	470.0	410.0
GENE_1796	370.0	400.0	440.0	331.9424496001156	750.0	420.0
GENE_1797	400.0	600.0	340.0	1157.761387740385	670.0	470.0
GENE_1798	480.0	630.0	590.0	957.0144000999995	420.0	260.0
GENE_1799	680.0	460.0	270.0	400.0	1398.2054252774285	730.0
GENE_1800	400.0	450.0	190.0	640.0	190.0	210.0
GENE_1801	810.0	590.0	470.0	250.0	360.0	210.0
GENE_1802	380.0	360.0	290.0	640.0	590.0	1420.0
GENE_1803	200.0	630.0	130.0	260.0	215.5189906171659	320.0
GENE_1804	530.0	490.0	390.0	180.0	430.0	570.0
GENE_1805	540.0	360.0	340.0	1458.8950729138814	420.0	660.0
GENE_1806	640.0	660.0	100.0	220.0	440.0	320.0
GENE_1807	270.0	690.0	780.0	360.0	260.0	64.45659868227588
GENE_1808	950.0	360.0	570.0	680.0	220.0	710.0
GENE_1809	610.0	570.0	500.0	690.0	310.0	300.0
GENE_1810	480.0	590.0	890.0	260.0	500.0	560.0
GENE_1811	150.0	830.0	220.0	205.21714180726573	190.0	690.0
GENE_1812	210.0	550.0	300.0	650.0	803.267897834752	460.0
GENE_1813	280.0	440.0	340.0	130.0	530.0	460.0
GENE_1814	470.0	410.0	250.0	380.0	310.0	210.0
GENE_1815	1120.0	210.0	600.0	550.0	540.0	970.0
GENE_1816	460.0	320.0	280.0	230.0	580.0	270.0
GENE_1817	1050.0	280.0	300.0	450.0	520.0	520.0
GENE_1818	470.0	210.0	470.0	390.0	520.0	830.0
GENE_1819	310.0	150.0	650.0	720.0	900.0	560.0
GENE_1820	540.0	320.0	450.0	370.0	360.0	530.0
GENE_1821	720.0	620.0	670.0	390.0	750.0	449.87640089342483
GENE_1822	380.0	390.0	710.0	830.0	430.0	600.0
GENE_1823	230.0	110.0	440.0	440.0	420.0	1428.6856836169943
GENE_1824	640.0	420.0	480.0	280.0	630.0	400.0
GENE_1825	780.0	910.0	240.0	240.0	240.0	340.0
GENE_1826	810.0	650.0	640.0	430.0	700.0	1411.3950087182686
GENE_1827	220.0	720.0	320.0	290.0	270.19813843502175	280.0
GENE_1828	340.0	330.0	400.0	270.0	1090.0	840.0
GENE_1829	230.0	390.0	490.0	560.0	300.0	340.0
GENE_1830	120.0	410.0	510.0	400.0	470.0	120.0
GENE_1831	430.0	260.0	370.0	290.0	1262.015175948197	203.96167143851372
GENE_1832	280.0	80.0	410.0	710.0	270.0	720.0
GENE_1833	170.0	360.0	350.0	303.35999120850335	280.0	200.0
GENE_1834	420.0	330.0	230.0	1170.0	550.0	340.0
GENE_1835	520.0	300.0	290.0	700.0	330.0	770.0
GENE_1836	190.0	310.0	440.0	590.0	390.0	1090.0
GENE_1837	920.0	550.0	180.0	480.0	1345.248288165122	350.0
GENE_1838	370.0	620.0	600.0	700.0	240.0	173.2506447952016
GENE_1839	240.0	680.0	340.0	81.41896351901356	570.0	1320.610384976555
GENE_1840	190.0	510.0	510.0	390.0	420.0	400.0
GENE_1841	300.0	360.0	690.0	290.0	440.0	380.0
GENE_1842	630.0	370.0	860.0	740.0	680.0	320.0
GENE_1843	470.0	550.0	980.0	500.0	1012.9050179083171	450.0
GENE_1844	760.0	640.0	480.0	400.0	370.0	170.0
GENE_1845	180.0	400.0	250.0	270.0	710.0	680.0
GENE_1846	290.0	330.0	250.0	100.0	500.0	310.0
GENE_1847	340.0	650.0	260.0	230.0	810.0	510.0
GENE_1848	430.0	170.0	280.0	440.0	1528.514895148404	1156.814346336899
GENE_1849	310.0	250.0	470.0	630.0	130.0	540.0
GENE_1850	310.0	1020.0	310.0	1636.5057898050384	740.0	350.0
GENE_1851	280.0	260.0	400.0	240.0	230.0	230.0
GENE_1852	450.0	310.0	380.0	450.0	250.0	180.0
GENE_1853	710.0	450.0	540.0	170.0	690.0	380.0
GENE_1854	410.0	330.0	680.0	291.6017480327598	430.0	710.0
GENE_1855	260.0	300.0	680.0	490.0	680.0	360.0
GENE_1856	440.0	320.0	390.0	1199.7680676695268	360.0	720.0
GENE_1857	370.0	380.0	350.0	290.0	1046.5635652171468	610.0
GENE_1858	700.0	520.0	700.0	750.0	320.0	500.0
GENE_1859	910.0	440.0	510.0	880.0	100.0	780.0
GENE_1860	330.0	290.0	880.0	1017.6567154204338	230.0	350.0
GENE_1861	140.0	810.0	540.0	270.0	250.0	410.0
GENE_1862	250.0	420.0	560.0	230.0	790.0	180.0
GENE_1863	550.0	300.0	130.0	160.0	470.0	600.0
GENE_1864	250.0	470.0	260.0	230.0	420.0	370.0
GENE_1865	310.0	260.0	520.0	190.0	530.0	690.0
GENE_1866	230.0	460.0	510.0	1109.6854536622373	742.1175995956128	1548.9051100286354
GENE_1867	130.0	450.0	610.0	400.0	220.0	630.0
GENE_1868	590.0	420.0	780.0	1258.2797166233042	440.0	500.0
GENE_1869	320.0	630.0	420.0	260.0	330.0	420.0
GENE_1870	240.0	750.0	390.0	200.0	310.0	130.0
GENE_1871	310.0	670.0	790.0	660.0	520.0	250.0
GENE_1872	400.0	290.0	290.0	650.0	680.0	320.0
GENE_1873	940.0	250.0	440.0	650.0	660.0	570.0
GENE_1874	670.0	390.0	1030.0	360.0	170.0	124.26373300324508
GENE_1875	150.0	540.0	520.0	450.0	580.0	480.0
GENE_1876	880.0	310.0	320.0	610.0	560.0	401.40946504778105
GENE_1877	310.0	480.0	590.0	570.0	480.0	340.0
GENE_1878	360.0	590.0	500.0	460.0	450.0	720.0
GENE_1879	510.0	390.0	430.0	910.0	500.0	1925.8508425527832
GENE_1880	620.0	240.0	550.0	1142.9759486782007	590.0	820.0
GENE_1881	630.0	500.0	230.0	663.8498228328133	790.0	490.0
GENE_1882	400.0	860.0	280.0	380.0	650.0	140.0
GENE_1883	420.0	830.0	290.0	90.0	1411.9404419311993	380.0
GENE_1884	430.0	190.0	360.0	390.0	190.0	510.0
GENE_1885	1060.0	800.0	960.0	510.0	860.0	460.0
GENE_1886	190.0	580.0	270.0	300.0	764.9806059653179	179.98612941309946
GENE_1887	230.0	810.0	450.0	160.0	350.0	620.0
GENE_1888	310.0	320.0	490.0	850.0	260.0	670.0
GENE_1889	180.0	280.0	770.0	270.33059524658734	190.0	850.0
GENE_1890	240.0	430.0	680.0	550.0	540.0	284.1193386173226
GENE_1891	610.0	270.0	130.0	690.0	1040.0	260.0
GENE_1892	350.0	450.0	220.0	610.0	350.0	830.0
GENE_1893	660.0	380.0	490.0	220.0	710.0	580.0
GENE_1894	500.0	380.0	250.0	290.0	610.0	590.0
GENE_1895	620.0	260.0	370.0	360.0	240.0	420.0
GENE_1896	500.0	390.0	800.0	650.0	440.0	1595.1489862580916
GENE_1897	880.0	190.0	410.0	280.0	280.0	450.0
GENE_1898	160.0	610.0	140.0	350.0	650.0	440.0
GENE_1899	640.0	100.0	190.0	390.0	810.0	520.0
GENE_1900	1060.0	1110.0	350.0	919.1007262822883	820.0	280.0
GENE_1901	280.0	870.0	260.0	1218.9443005539185	430.0	770.0
GENE_1902	400.0	480.0	730.0	844.413500742619	690.0	440.0
GENE_1903	310.0	360.0	520.0	410.0	1080.0	390.0
GENE_1904	840.0	650.0	670.0	110.0	810.0	185.49541377424737
GENE_1905	160.0	210.0	530.0	400.0	955.6428295692999	180.0
GENE_1906	170.0	1090.0	190.0	320.0	460.0	310.0
GENE_1907	130.0	270.0	280.0	600.0	1570.6872638788989	520.0
GENE_1908	360.0	200.0	90.0	770.0	610.0	1769.9738945518752
GENE_1909	720.0	330.0	310.0	490.0	310.0	130.0
GENE_1910	380.0	310.0	590.0	550.0	1537.250033243617	630.0
GENE_1911	300.0	540.0	280.0	1638.6104706867582	460.0	630.0
GENE_1912	260.0	890.0	400.0	780.0	460.0	150.0
GENE_1913	430.0	700.0	780.0	330.0	2759.867643127613	940.0
GENE_1914	570.0	230.0	340.0	270.0	310.0	250.0
GENE_1915	420.0	590.0	330.0	680.0	640.0	280.0
GENE_1916	530.0	190.0	260.0	520.0	350.0	330.0
GENE_1917	480.0	600.0	910.0	230.0	510.0	570.0
GENE_1918	150.0	500.0	800.0	510.0	580.0	240.0
GENE_1919	500.0	510.0	310.0	65.56655654415607	150.0	420.0
GENE_1920	540.0	250.0	270.0	520.0	1237.3226468010237	540.0
GENE_1921	290.0	330.0	320.0	290.0	460.0	116.66739012623734
GENE_1922	340.0	460.0	660.0	240.0	640.0	780.0
GENE_1923	640.0	850.0	80.0	640.0	160.0	240.0
GENE_1924	390.0	360.0	490.0	910.0	310.0	400.0
GENE_1925	400.0	570.0	570.0	530.0	270.0	280.0
GENE_1926	410.0	180.0	220.0	810.0	430.0	160.0
GENE_1927	130.0	370.0	590.0	260.0	340.0	420.0
GENE_1928	500.0	650.0	270.0	110.0	240.0	230.0
GENE_1929	620.0	540.0	390.0	380.0	350.0	120.0
GENE_1930	500.0	410.0	170.0	360.0	490.0	420.0
GENE_1931	490.0	340.0	800.0	360.0	910.0	300.0
GENE_1932	230.0	330.0	250.0	210.0	110.0	1414.0451519136848
GENE_1933	900.0	420.0	460.0	490.0	450.0	740.0
GENE_1934	300.0	1160.0	660.0	570.0	550.0	1077.9854580793976
GENE_1935	810.0	470.0	630.0	350.0	450.0	500.0
GENE_1936	440.0	270.0	290.0	220.0	290.0	570.0
GENE_1937	320.0	590.0	170.0	510.0	530.0	170.0
GENE_1938	250.0	690.0	150.0	450.0	380.0	240.0
GENE_1939	660.0	630.0	340.0	360.0	500.0	670.0
GENE_1940	330.0	240.0	450.0	450.0	550.0	710.0
GENE_1941	290.0	570.0	370.0	1098.476752287476	196.7932576001678	630.0
GENE_1942	540.0	140.0	120.0	640.0	150.0	131.64948914476585
GENE_1943	380.0	210.0	700.0	200.0	79.94096856425705	340.0
GENE_1944	560.0	460.0	490.0	140.0	1161.7584734374466	290.0
GENE_1945	1060.0	880.0	300.0	1008.7347266607567	240.0	146.32298648919476
GENE_1946	960.0	600.0	280.0	290.0	350.0	710.0
GENE_1947	300.0	710.0	510.0	210.0	390.0	340.0
GENE_1948	510.0	150.0	440.0	1639.097040042646	110.0	450.0
GENE_1949	440.0	650.0	970.0	940.0	330.0	800.0
GENE_1950	680.0	230.0	510.0	610.0	370.0	330.0
GENE_1951	490.0	410.0	680.0	420.0	190.0	220.0
GENE_1952	200.0	230.0	420.0	320.0	360.0	710.0
GENE_1953	700.0	510.0	270.0	640.0	580.0	273.68083549134974
GENE_1954	800.0	190.0	300.0	480.0	770.0	490.0
GENE_1955	580.0	150.0	260.0	360.0	770.0	420.0
GENE_1956	400.0	290.0	200.0	1080.0	170.0	540.0
GENE_1957	300.0	350.0	810.0	430.0	710.0	260.0
GENE_1958	340.0	260.0	690.0	434.1447274616971	1647.6942303656367	640.0
GENE_1959	560.0	790.0	310.0	450.0	440.0	200.0
GENE_1960	210.0	750.0	520.0	390.0	670.0	360.0
GENE_1961	280.0	240.0	180.0	310.0	300.0	450.0
GENE_1962	270.0	750.0	160.0	700.0	580.0	870.0
GENE_1963	690.0	740.0	450.0	440.0	720.0	420.0
GENE_1964	380.0	270.0	170.0	620.0	398.20844035563226	440.0
GENE_1965	450.0	500.0	380.0	101.1417318240806	540.0	370.0
GENE_1966	1310.0	360.0	540.0	140.0	240.0	129.96226465319037
GENE_1967	680.0	530.0	550.0	130.0	710.0	530.0
GENE_1968	410.0	220.0	500.0	370.0	740.0	160.0
GENE_1969	130.0	380.0	1020.0	1383.5992136569869	490.0	390.0
GENE_1970	310.0	390.0	270.0	290.0	630.0	690.510884912659
GENE_1971	260.0	320.0	530.0	150.0	340.0	750.0
GENE_1972	370.0	410.0	170.0	86.91370874850018	190.0	300.0
GENE_1973	720.0	640.0	520.0	230.0	860.0	240.0
GENE_1974	340.0	480.0	300.0	100.0	168.29152891721728	260.0
GENE_1975	550.0	590.0	330.0	470.0	160.0	570.0
GENE_1976	210.0	530.0	410.0	560.0	850.0	360.0
GENE_1977	370.0	450.0	400.0	670.0	360.0	420.0
GENE_1978	590.0	470.0	440.0	370.0	360.0	500.0
GENE_1979	380.0	310.0	200.0	170.0	140.0	630.0
GENE_1980	400.0	190.0	510.0	820.0	590.0	250.0
GENE_1981	470.0	560.0	240.0	660.0	230.0	300.0
GENE_1982	490.0	340.0	300.0	570.0	920.0	690.0
GENE_1983	190.0	310.0	1030.0	430.0	440.0	316.584067237517
GENE_1984	380.0	440.0	160.0	170.0	330.0	1020.0
GENE_1985	400.0	590.0	470.0	510.0	98.53192305156925	400.0
GENE_1986	600.0	280.0	40.0	680.0	610.0	500.0
GENE_1987	380.0	670.0	840.0	440.0	390.0	520.0
GENE_1988	370.0	200.0	300.0	50.36108695979992	600.0	840.0
GENE_1989	300.0	400.0	100.0	900.0	900.0	300.0
GENE_1990	460.0	600.0	370.0	1021.7844093765625	230.0	410.0
GENE_1991	220.0	240.0	200.0	350.0	160.0	370.0
GENE_1992	250.0	520.0	350.0	460.0	280.0	450.0
GENE_1993	520.0	280.0	240.0	190.0	221.92080943231252	420.0
GENE_1994	200.0	430.0	460.0	610.0	860.0	400.0
GENE_1995	770.0	850.0	420.0	900.0	900.0	400.0
GENE_1996	300.0	690.0	670.0	320.0	540.0	530.0
GENE_1997	570.0	320.0	540.0	380.0	900.0	432.81505618901025
GENE_1998	350.0	600.0	110.0	979.1565419602356	220.0	853.7643284836009
GENE_1999	200.0	590.0	880.0	1051.8077227488175	490.0	730.0
GENE_2000	310.0	590.0	130.0	600.0	270.0	150.0
